year,sex,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1931,F,30849,###,4465,20048,39500,8933,12289,2038,13167,30012,5060,4524,57504,27237,20312,16150,27721,21290,7913,14049,33774,44321,22910,22031,29443,4621,12759,617,3759,31362,6009,100241,36294,7056,52426,20931,6444,86955,5472,19347,###,25629,###,5834,3271,25824,10650,19164,26438,2198
1931,M,31894,###,4904,20994,41926,9580,13266,2199,13866,31768,5403,4551,61284,28736,21631,16644,29399,22079,8390,14733,35447,46608,23972,23180,31291,5017,13850,606,4005,32692,6313,105436,38505,7324,55724,22338,6766,91759,5853,20168,###,26605,###,6184,3405,26907,11378,20161,27982,2306
1932,F,30780,###,4113,18240,38103,8563,11634,2092,13240,31000,5119,4218,54380,25926,19753,15285,28764,21095,7863,14170,33445,41558,22590,22703,29140,4445,12145,642,3803,30005,6063,96330,38126,6714,49550,19801,6312,82110,5390,20149,6485,25520,###,5817,2928,26923,10418,18855,25979,2080
1932,M,32159,###,4410,19210,39990,9050,12097,2202,14162,32717,5374,4514,57132,27147,20706,16415,30741,22203,8266,14650,35089,44178,23787,23570,30809,4646,13014,618,4005,31214,6328,102101,39776,7333,52203,21238,6535,86424,5781,21369,6756,26971,###,6157,3102,27659,10961,19948,27128,2169
1933,F,28898,###,3952,17404,36533,8467,10945,1901,12557,29896,4768,4170,52301,24539,19132,14954,26882,19458,7303,13528,30962,39292,21518,21613,27757,4359,11800,656,3587,27225,5979,90925,36561,6429,46536,21156,5914,76231,5048,19843,6278,24403,52549,5746,2968,25105,10294,17638,24420,1987
1933,M,30440,###,4173,18396,38503,8713,11492,2021,13109,31088,4865,4387,55609,25941,20443,15801,28443,20290,7820,13912,32483,41631,22996,22661,29520,4594,12385,697,3798,28836,6325,96233,38861,6760,49247,22541,6309,80815,5304,20476,6581,25745,55401,6164,3163,26149,10588,18625,25989,2220
1934,F,31099,###,4056,18200,38070,8707,10799,1905,12873,31673,4484,4531,53598,25430,20664,15827,28774,21042,7690,13512,30969,41025,22197,23402,28734,4788,12264,694,3808,26634,6289,90446,38934,7027,48739,22950,6349,78518,5003,21448,6457,25537,56016,6218,3274,25496,11035,20070,24950,2200
1934,M,32396,###,4436,19315,40276,9142,11416,2083,13843,32988,4811,4842,56628,26919,21799,16636,31130,21961,8070,13828,32859,42900,23724,24461,30451,5161,12821,740,4061,27907,6480,95169,40770,7522,51361,24352,6728,81720,5346,22817,6716,26856,60587,6418,3319,26879,11505,21406,26469,2365
1935,F,30414,###,4484,17227,38965,9186,10860,1957,13648,30961,4492,4631,54590,25695,20031,14978,27796,20674,7701,13308,30603,42412,22399,23806,27895,4926,11380,690,3825,26410,6498,89724,38399,6637,49333,21348,6354,78468,4969,19761,6246,25914,55885,6186,3231,25212,10805,20379,25449,2131
1935,M,31825,###,4655,18457,41166,9651,11398,2079,14403,32299,4704,4838,57294,27214,21106,15611,29919,21596,8022,13928,32398,45034,23563,24514,29404,5103,11947,733,3943,28104,6692,94620,40354,7018,51770,22343,6825,82698,5246,20837,6604,27400,58836,6509,3360,26275,11591,21395,27113,2231
1936,F,29624,###,4566,16318,41358,8848,10779,1882,13782,30017,4278,4972,54531,26381,20776,14531,27005,21487,7490,12873,30138,43148,23054,24335,27290,5124,11610,673,3692,26201,6260,88486,37145,6639,50840,19975,6713,77843,5036,19339,6372,24849,54106,6153,3167,25059,11367,19903,25544,2328
1936,M,30492,###,4979,17202,43144,9431,11449,2040,14315,31641,4303,5252,57636,27653,21939,15467,28773,22341,7812,13715,31566,45279,24522,25111,28626,5276,12188,746,3987,27632,6647,93983,39037,6932,52863,21840,7262,81550,5150,19953,6507,25722,57496,6398,3282,26188,12009,20950,27069,2425
1937,F,30281,###,5127,16938,45522,9423,11032,2053,14555,31511,4426,5027,55873,27072,20462,14087,27208,22539,7454,13612,29890,44507,23397,25653,27809,4999,10823,848,3723,26698,6652,90203,38678,6051,52432,20180,7509,78328,4975,19997,5937,25340,56297,6143,3077,25519,12294,20656,26109,2189
1937,M,31330,###,5367,18298,48708,10187,11742,2302,14952,32550,4557,5342,59409,29015,21643,15238,28955,23467,7792,14127,31846,47032,24639,26442,29142,5249,11447,894,3910,27909,7185,95299,40402,6586,55144,21276,7948,82960,5265,20646,5971,26598,59760,6550,3249,26431,12742,21584,27434,2341
1938,F,30654,###,5347,18135,49346,9995,11533,2130,15172,31766,4340,5470,59726,29376,20984,14357,29874,24020,7513,14242,29959,46853,24147,26236,28534,5173,10838,903,3793,27272,6993,92087,39155,6444,54877,21545,7934,80858,5164,20134,5773,26057,59094,6412,3039,26340,13090,20596,26819,2430
1938,M,31378,###,5531,19047,52498,10604,12250,2301,15924,32870,4722,5807,62836,30816,22237,15217,32004,24847,7705,14771,31303,50110,25915,27458,30033,5500,11563,985,4037,28771,7297,97472,40779,6597,57790,22643,8311,85126,5372,20986,6053,27594,62062,6802,3262,27155,13677,21838,28185,2516
1939,F,30031,###,5360,17298,50435,9982,11493,2080,15545,31456,4569,5388,58085,28338,21094,14310,29600,24009,7398,14665,30835,45718,24261,25292,28263,5417,10737,936,3771,27980,6962,90818,38531,6272,53310,21251,8046,78454,5028,21015,5942,25770,58808,6202,3171,26594,12876,20179,26359,2420
1939,M,31647,###,5696,18345,53170,10636,12262,2234,16808,32987,4823,5711,60767,29845,22251,14978,31149,24846,7675,15462,32346,48584,25860,26371,30017,5580,11434,1063,4002,29368,7265,96172,40602,6619,55762,22311,8495,82324,5386,21973,6098,27239,62354,6564,3414,27664,13704,21570,27835,2607
1940,F,30726,###,5673,18504,54529,10110,12475,2164,16245,31640,4557,5661,60460,29863,21783,14188,31078,25142,7393,15681,31807,48008,25736,25895,29763,5611,10923,1059,4116,28996,7128,95153,39112,6419,56952,21813,8533,80703,5331,21780,5868,26916,62016,6410,3391,27895,13632,20454,26802,2508
1940,M,32212,###,5830,19969,57758,10924,13073,2387,17554,33117,4857,6128,64155,31797,23071,14697,32690,25706,7829,16684,33744,51013,27179,26837,31716,5945,11106,1050,4213,30818,7664,100935,41343,6716,58611,23074,9090,84753,5499,22832,6186,28326,65056,6937,3551,29119,14527,21835,28089,2681
1941,F,31420,###,5567,19690,61117,10401,14165,2558,18298,33075,4865,5742,66218,31964,22442,14898,30628,26728,7741,18261,33707,52141,26343,26826,31792,5699,10604,1063,4222,32626,7160,102253,41368,6455,61273,22110,9231,84789,5706,23199,5895,29263,66443,6476,3328,30022,14837,21337,27737,2572
1941,M,32959,###,5858,20859,64073,10992,14871,2529,19244,34795,5251,5916,69941,33630,23673,15519,32874,27890,8247,18804,35839,55317,28016,27887,33426,5846,11359,1137,4360,34571,7578,108050,43227,6804,64677,23708,9637,89404,5905,24184,6264,30592,70339,7062,3637,31057,15743,22646,29449,2750
1942,F,34748,###,6194,20532,75166,11390,17962,2745,19750,35318,5044,5550,75950,35577,23374,16404,31346,28449,8538,21598,40104,60526,28670,27527,34519,5694,11513,1344,4421,39627,6946,119195,43828,6506,70266,22544,10875,95917,6908,23694,6067,31573,70185,7557,3414,33040,18910,21336,31324,2669
1942,M,36388,###,6470,22148,79401,12176,19302,2912,21151,37173,5378,5904,80282,38129,25080,17516,34921,29644,9181,22639,42669,63360,30100,29140,36192,6041,12163,1438,4752,42082,7183,125607,46026,6851,74061,23464,11643,101260,7274,25141,6357,33574,74557,8265,3761,34910,20097,22586,32658,2898
1943,F,37690,###,6837,20784,84980,11960,18808,3058,22776,38265,5634,5936,76020,36476,23054,17444,31475,30563,9222,23064,41500,61295,28479,29199,35149,5619,12119,1491,4497,40563,7442,120982,45853,6446,70006,23750,12414,96994,7185,26627,6345,33886,79983,8332,3454,35264,21547,21015,31234,2833
1943,M,39845,###,7460,21805,89440,12407,20197,3171,23968,40122,6197,6455,79715,38196,24563,18577,34091,31442,9722,24307,44417,64483,30029,30647,37309,5788,12929,1535,4870,42469,7769,127645,48715,6976,74081,24889,13036,102372,7482,27517,6471,36317,84530,8829,3849,36893,22973,22357,33216,2989
1944,F,36089,###,6946,20064,87015,11523,16592,2912,23556,37193,6092,5999,69272,34437,22637,16927,30795,29968,8692,21657,37971,55672,27150,27984,33090,5288,11862,1484,4098,37084,7568,111816,43828,6686,65095,22845,11689,86529,6703,25101,6216,33057,81030,7899,3405,33913,21717,20106,29897,2741
1944,M,38326,###,7279,21176,92108,12408,17686,3081,24862,39347,6402,6242,72733,36917,23927,18049,33430,31082,9070,22258,40238,59028,28963,28956,34900,5655,12713,1544,4450,39181,8017,117718,46801,6844,68503,23880,12461,91841,7051,26366,6553,35215,84870,8281,3419,35262,22811,21198,31650,2894
1945,F,34604,952,6433,19310,89887,11489,16384,2891,23362,36586,5998,5710,67348,33108,21994,16214,29536,28506,7994,20827,37238,54897,26658,26656,31923,5117,11669,1406,3979,37668,7466,113943,42480,6503,64289,20958,11584,84158,6671,24336,6028,31714,76817,7572,3331,32697,21842,18820,29685,2656
1945,M,35717,877,6915,20318,94493,12022,17381,3093,24429,38266,6307,5791,71357,35336,22940,17410,31356,29332,8693,21964,39826,57758,27998,27607,33736,5484,12459,1445,4359,39670,7840,120811,44921,6644,68207,22207,12556,89641,6964,25095,6432,33252,81098,8108,3542,34371,22731,20219,31752,2825
1946,F,39014,1128,7952,21893,106165,14392,20079,3352,26303,41926,6267,6686,84865,41541,27055,19415,35108,33594,9802,24492,45729,67410,32927,30248,39119,6239,13661,1631,5357,46024,8911,138617,49128,7498,82179,24600,14608,105527,8134,26527,7110,37619,88078,8867,4112,36863,25105,23458,36399,2987
1946,M,40849,1143,8393,23387,112319,15126,21378,3450,27385,43741,6541,7101,89960,43974,29131,20336,37434,35076,10524,25855,48559,71867,34339,31442,41565,6619,14391,1652,5735,49194,9176,147929,51551,7766,87421,25816,15468,112849,8627,27436,7470,39717,93501,9353,4250,38998,26883,25215,38356,3201
1947,F,43081,1294,9389,24028,119751,15969,22030,3834,29028,46139,7008,7824,95133,47118,31124,21509,38531,36394,11633,27653,52203,78535,36675,32394,43751,7265,15670,1987,6508,51367,9741,157055,55331,8273,96023,26238,17670,120886,9021,28997,7998,41993,96793,10481,4738,41782,28662,26756,40861,3600
1947,M,45035,1407,9764,24955,126138,16905,23551,3883,30779,48805,7584,8441,100874,49241,32734,23026,41456,38236,12240,29034,55588,82550,38902,34056,46309,7821,16462,2054,6759,54875,10581,166195,57546,8791,101288,27446,18624,127627,9515,30473,8541,44626,101869,11243,4970,43958,29819,28329,43198,3720
1948,F,41621,1459,9504,23516,117440,16106,20395,3560,29179,45139,6997,7887,90172,45101,29237,20870,37596,35564,10704,25862,48541,75119,35381,32082,41533,7414,15119,1822,6102,47418,10075,146983,53580,8092,90651,24549,17193,110190,8064,27898,8019,40069,96337,10056,4503,39803,27368,25573,39599,3685
1948,M,43751,1620,9691,24520,123262,16904,21834,3694,30421,47555,7466,8245,94699,47428,31338,21844,39580,37748,11367,27561,51229,79611,37399,33221,43725,7621,16057,1872,6321,50162,10444,154983,55850,8492,95702,25837,18013,117037,8797,29861,8386,42058,101413,10658,4866,42254,28465,26823,42031,3733
1949,F,41135,1665,9934,22526,119455,15894,19780,3599,29956,45659,6827,7907,92185,45813,29888,21185,36978,36937,10736,26183,46511,76050,35807,32562,41476,7729,15509,1774,5815,47166,10413,146722,52679,8119,92171,24259,17269,109095,7988,28489,8329,40421,98982,10143,4490,40419,27725,25661,40186,3598
1949,M,43283,1862,10341,23083,125744,17000,21107,3770,31787,47600,7323,8077,97128,48401,31983,22596,39219,38550,11203,27414,49104,81128,38122,33853,43826,7637,16038,1899,6125,50440,11207,154565,55291,8727,97257,25443,18047,115486,8504,30027,8882,42433,103315,11021,4807,42541,28817,26925,42763,3892
1950,F,40516,1800,10168,22313,118974,16306,19829,3742,31498,44907,6921,7902,92426,45506,30382,21165,36402,37502,10310,26384,46536,78439,36508,31679,42007,7604,15345,1752,5613,47455,10855,146714,52014,8386,90248,24358,17527,107876,7869,28140,8618,39574,99366,10304,4390,39864,27135,24585,40134,3751
1950,M,42100,1925,10655,23279,125897,17579,20791,3901,33146,46505,7133,8133,97487,47973,32278,22763,38624,38860,10751,27821,49678,82516,38809,33225,43917,8007,16454,1915,5904,50347,11237,154329,54472,8644,95602,25762,18552,113759,8341,29310,9188,41802,104475,10888,4613,42157,28682,25922,42540,3855
1951,F,40914,2159,11000,22090,127040,17568,20776,3954,34420,46632,7100,8022,98060,49424,32336,22842,36854,39402,10378,29330,48938,84394,38906,32330,44060,7748,16536,1982,5734,51162,11534,154126,54030,8382,97264,24728,18078,114412,8354,30018,8906,41008,106288,10928,4414,42462,28426,24876,42668,3900
1951,M,42822,2336,11536,23220,133718,18326,22466,4290,36142,48784,7346,8328,103088,51782,33904,24440,39312,40974,10862,30684,51474,89112,41130,33334,46198,8018,17160,2084,6216,54164,12130,162454,56880,8888,102846,25930,19302,120662,8626,30738,9286,43304,111494,11960,4608,44898,29670,25784,45490,4148
1952,F,40340,2747,12502,20910,145370,18562,23300,4440,39320,48076,7616,8052,100574,51454,30618,25354,35374,41228,10754,30956,50804,88766,38604,31358,44632,8092,16300,2510,5710,55008,12082,158004,54790,8380,102412,24746,19164,116280,8468,31188,8736,40630,115370,11574,4626,42964,30008,24218,43590,3868
1952,M,42308,3008,13250,22158,152246,19356,24878,4678,41068,49780,7960,8730,106466,54438,32058,26666,37404,43034,11196,32102,54098,94044,40832,32746,47346,8524,16464,2702,5974,57706,12992,167274,57066,8630,108758,26420,20716,122652,9004,32370,9366,42540,120468,12592,4694,45806,31502,24906,45652,4248
1953,F,40340,3232,12502,20910,145370,18562,23300,4440,39320,48076,7920,8052,100574,51454,30618,25354,35374,41228,10754,30956,50804,88766,38604,31358,44632,8092,16300,2510,5710,55008,12082,158004,54790,8380,102412,24746,19164,116280,8468,31188,8736,40630,115370,11574,4626,44692,29908,22580,43168,4146
1953,M,42308,3547,13250,22158,152246,19356,24878,4678,41068,49780,8188,8730,106466,54438,32058,26666,37404,43034,11196,32102,54098,94044,40832,32746,47346,8524,16464,2702,5974,57706,12992,167274,57066,8630,108758,26420,20716,122652,9004,32370,9366,42540,120468,12592,4694,47260,31792,23950,45606,4614
1954,F,40320,3403,13056,21108,149274,19042,24220,4732,41344,49252,7852,8220,106180,53132,30442,26228,36298,42264,10940,32658,52458,93826,39330,31674,45634,8560,16712,2886,6016,57644,12572,163306,55906,8554,108348,24780,18724,119208,8714,31802,8822,41794,116868,11586,4540,46314,30734,22666,44812,4368
1954,M,42138,3635,13764,22320,157016,19876,26176,4962,43590,51168,8350,8954,111240,55872,32756,27250,38818,44182,11672,33720,55312,98506,41646,32998,47974,8758,17140,2960,6238,60754,13066,172204,58940,8856,114306,26450,19934,125474,9332,33338,9344,44040,122352,11914,4758,48896,32010,23878,47060,4570
1955,F,39964,3544,13609,20515,152381,19582,25799,5116,43666,49283,7985,8152,107666,52659,31039,25577,35812,42026,10991,33275,53652,95986,39755,31203,46023,8534,16723,3094,6048,59025,12713,166867,56586,8455,108479,24442,18995,118106,8728,31074,9125,41458,117300,12129,4479,46387,30279,21492,44915,4158
1955,M,41847,3802,14338,21287,160985,20435,26678,5471,45668,51159,8334,8834,112955,55955,32708,27335,38085,44128,11429,34613,56611,100637,41950,32163,47978,8940,17535,3181,6434,62402,13046,175699,58779,8782,114991,25660,19793,124646,9167,32509,9509,43579,122573,12762,4866,48161,32143,22680,47512,4452
1956,F,40932,3717,14632,20890,163014,20420,26318,5528,47070,49886,8370,8042,112060,55152,30804,25534,35734,43780,11134,34362,54456,100662,40538,30614,46962,8740,16546,3090,6408,60964,13186,168566,56444,8128,114354,25248,18820,121768,8790,31406,8756,41614,120634,12418,4448,47454,31802,21910,45386,4036
1956,M,43130,3902,15104,21620,170932,21240,27456,5688,50326,52988,8736,8586,117700,58468,32672,27784,38246,45668,11234,36390,57706,105564,42468,31466,49170,8992,17448,3482,6576,64120,13698,178372,59830,8566,120666,26536,19790,126756,9384,32810,9264,43344,125662,13130,4798,49416,33282,22696,48470,4438
1957,F,41196,3746,15604,20390,171016,20390,27730,5770,50762,49762,8236,8304,116388,56570,30682,25826,36508,43892,11222,36644,56136,101958,42060,29954,47708,8868,16102,3326,6506,63860,13752,174652,55430,8110,118774,25270,18200,123784,9186,30960,8614,40842,122216,12504,4630,47600,32350,21278,47484,3942
1957,M,42856,4099,16382,21342,179888,20952,29346,5886,53336,52292,8824,8460,122346,59322,32952,27322,38244,46934,11754,38438,59248,106850,43890,30922,49500,9324,17040,3384,6664,66500,14182,184588,58010,8218,124804,25992,19588,131420,9804,32418,9102,43234,128574,13466,4870,49686,33768,22922,49334,4278
1958,F,40592,3412,16288,19942,170862,20276,27404,5628,52548,48800,7922,8002,114756,54776,30064,24960,36172,43858,11238,37254,56066,98892,41450,29416,46896,8440,15888,3292,6266,63888,13908,176514,54520,7960,114490,24668,17688,121984,8904,29984,8532,40362,119846,12582,4542,47368,31962,21372,46540,3924
1958,M,41836,3639,16712,20950,178736,21566,28970,5946,55448,51128,8786,8760,120224,57676,32308,26806,38086,46436,11896,38706,58954,104008,43542,29826,49970,8830,17084,3500,6932,66308,14742,184148,56178,8568,119860,25618,18590,128224,9446,30718,8784,42408,126652,12926,4874,49296,33702,22840,49662,4210
1959,F,40176,3110,16814,19962,175028,20450,27394,5898,54784,48628,8312,8316,117578,54788,31800,25610,35880,44290,11380,37704,56004,96928,43278,29732,47766,8612,16578,3486,6658,63720,14848,175506,54222,8332,113674,25050,17752,121090,9160,29732,8700,40438,121664,12478,4586,47258,32028,20336,48218,4000
1959,M,42152,3182,17826,20756,184060,21574,29232,5860,58014,50992,8788,8872,122630,58066,32816,26918,37970,46678,11708,39356,58236,101648,45112,30988,50874,9054,17518,3560,6806,67136,15372,185314,56662,8654,119104,26304,18894,125914,9556,30544,9300,42714,127576,13230,4878,49374,33722,21946,50414,4212
1960,F,39522,3700,17812,20020,181404,21084,27786,5588,56722,48470,8198,8410,116814,55118,31036,24716,34826,44152,11270,37518,55860,95606,42678,29228,47626,8466,16520,3564,6756,65058,15138,175520,53458,8140,112576,24770,18824,117780,9006,29140,8692,40140,121414,12828,4616,47038,31940,19192,48574,4162
1960,M,41324,3862,18948,20562,190806,21828,28982,5992,58848,51280,9008,8766,122114,57604,33126,25982,37382,46060,11948,39832,59264,99730,44916,29922,50300,8978,17742,3706,7088,67316,15542,183932,56316,8486,118142,26216,19590,123688,9390,30672,8928,41896,127728,13480,4792,48496,33338,20282,51022,4350
